channelKey,displayName,groups,sourceFile,sourceRole,originalName,host,kind,durable,continuousUpdate,updateMode,signedExpireAt,youtubeVideoId,url
crave4,Crave 4,加拿大,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,Crave 4,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1272/1871cf1ec3b131050a9674ece61ec3ac/index.m3u8
crux,CRUX,YouTube國際新聞,sources/youtube-live-channels.csv,durable-youtube-page,CRUX,www.youtube.com,youtube-page,true,true,resolve-with-yt-dlp,,LLWrwAKROfY,https://www.youtube.com/watch?v=LLWrwAKROfY
cts,CTS,한국,sources/live-base.txt,durable-base-hls,CTS,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx4/3084/b1be9c370edddddff73c280006b01581/index.m3u8
cts,CTS,한국,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,CTS,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx4/3084/b1be9c370edddddff73c280006b01581/index.m3u8
ctv,CTV,加拿大,sources/live-base.txt,durable-base-hls,CTV,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1253/740563c1a87021b566a116f4723380f1/index.m3u8
ctv,CTV,加拿大,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,CTV,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1253/740563c1a87021b566a116f4723380f1/index.m3u8
ctv2,CTV 2,加拿大,sources/live-base.txt,durable-base-hls,CTV 2,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1257/72e462adda1f62af09f2a14217bc6231/index.m3u8
ctv2,CTV 2,加拿大,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,CTV 2,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1257/72e462adda1f62af09f2a14217bc6231/index.m3u8
ctvcomedy,CTV Comedy,加拿大,sources/live-base.txt,durable-base-hls,CTV Comedy,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1267/f4380477693c7524c547a8e89efa67ac/index.m3u8
ctvcomedy,CTV Comedy,加拿大,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,CTV Comedy,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1267/f4380477693c7524c547a8e89efa67ac/index.m3u8
